更新时间: 2026-04-20 16:28:57（北京时间）

更新时间,#genre#
2026-04-20 16:28:57,http://kakaxi.indevs.in/LOGO/Disclaimer.mp4

CCTV5,http://220.192.130.71:8002/rtp/225.0.4.143:7980$重庆市联通
CCTV5,http://221.232.40.13:8888/rtp/239.69.1.123:10376$湖北电信
CCTV5,http://58.62.234.243:10000/rtp/239.77.0.170:5146$广东电信
CCTV5+,http://183.30.202.85:8000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://220.192.130.71:8002/rtp/225.0.4.73:7980$重庆市联通
CCTV5+,http://221.232.40.13:8888/rtp/239.254.96.234:9484$湖北电信
CCTV5+,http://58.62.234.243:10000/rtp/239.77.0.87:5146$广东电信
CCTV6,http://183.30.202.85:8000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://220.192.130.71:8002/rtp/225.0.4.144:7980$重庆市联通
CCTV6,http://221.232.40.13:8888/rtp/239.69.1.124:10382$湖北电信
CCTV6,http://58.62.234.243:10000/rtp/239.77.0.171:5146$广东电信
CCTV7,http://183.30.202.85:8000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://220.192.130.71:8002/rtp/225.0.4.127:7980$重庆市联通
CCTV7,http://221.232.40.13:8888/rtp/239.69.1.103:10256$湖北电信
CCTV7,http://58.62.234.243:10000/rtp/239.77.0.138:5146$广东电信
CCTV8,http://183.30.202.85:8000/rtp/239.77.0.172:5146$广东电信
CCTV8,http://220.192.130.71:8002/rtp/225.0.4.137:7980$重庆市联通
CCTV8,http://221.232.40.13:8888/rtp/239.69.1.125:10388$湖北电信
CCTV8,http://58.62.234.243:10000/rtp/239.77.0.172:5146$广东电信
CCTV9,http://183.30.202.85:8000/rtp/239.77.0.135:5146$广东电信
CCTV9,http://220.192.130.71:8002/rtp/225.0.4.131:7980$重庆市联通
CCTV9,http://221.232.40.13:8888/rtp/239.69.1.104:10262$湖北电信
CCTV9,http://58.62.234.243:10000/rtp/239.77.0.135:5146$广东电信
CCTV10,http://183.30.202.85:8000/rtp/239.77.0.134:5146$广东电信
